b_over_M,Iobs_over_I0,intersection_count,r1_over_M,r2_over_M,r3_over_M,phi_out,phi_tot,termination_reason
2.422422422422,0,0,nan,nan,nan,5.659253761380696,6.955525911950345,no_disk_intersection
2.427927927928,0,0,nan,nan,nan,5.6646278778075585,6.964294076821006,no_disk_intersection
2.433433433433,0,0,nan,nan,nan,5.670000365687216,6.9730643164604835,no_disk_intersection
2.438938938939,0,0,nan,nan,nan,5.675371266105345,6.981836689499889,no_disk_intersection
2.444444444444,0,0,nan,nan,nan,5.680740620091406,6.990611254608449,no_disk_intersection
2.44994994995,0,0,nan,nan,nan,5.68610846862699,6.999388070507591,no_disk_intersection
2.455455455455,0,0,nan,nan,nan,5.691474852643495,7.008167195964453,no_disk_intersection
2.460960960961,0,0,nan,nan,nan,5.696839813027262,7.016948689802789,no_disk_intersection
2.466466466466,0,0,nan,nan,nan,5.702203390618665,7.02573261089791,no_disk_intersection
2.471971971972,0,0,nan,nan,nan,5.707565626218161,7.034519018188506,no_disk_intersection
2.477477477477,0,0,nan,nan,nan,5.712926560582425,7.043307970668662,no_disk_intersection
2.482982982983,0,0,nan,nan,nan,5.718286234432686,7.052099527401979,no_disk_intersection
2.488488488488,0,0,nan,nan,nan,5.723644688452699,7.060893747515429,no_disk_intersection
2.493993993994,0,0,nan,nan,nan,5.7290019632915214,7.069690690207964,no_disk_intersection
2.499499499499,0,0,nan,nan,nan,5.734358099567265,7.078490414750134,no_disk_intersection
2.505005005005,0,0,nan,nan,nan,5.739713137865866,7.0872929804887335,no_disk_intersection
2.510510510511,0,0,nan,nan,nan,5.745067118747176,7.096098446849383,no_disk_intersection
2.516016016016,0,0,nan,nan,nan,5.750420082741495,7.104906873335837,no_disk_intersection
2.521521521522,0,0,nan,nan,nan,5.755772070358676,7.113718319541864,no_disk_intersection
2.527027027027,0,0,nan,nan,nan,5.761123122082647,7.122532845142274,no_disk_intersection
2.532532532533,0,0,nan,nan,nan,5.766473278380747,7.131350509908211,no_disk_intersection
2.538038038038,0,0,nan,nan,nan,5.771822579696863,7.140171373696167,no_disk_intersection
2.543543543544,0,0,nan,nan,nan,5.777171066465714,7.148995496468248,no_disk_intersection
2.549049049049,0,0,nan,nan,nan,5.782518779098262,7.157822938273484,no_disk_intersection
2.554554554555,0,0,nan,nan,nan,5.787865758002926,7.166653759275039,no_disk_intersection
2.56006006006,0,0,nan,nan,nan,5.793212043569832,7.175488019730375,no_disk_intersection
2.565565565566,0,0,nan,nan,nan,5.798557676185981,7.184325780012456,no_disk_intersection
2.571071071071,0,0,nan,nan,nan,5.8039026962274844,7.193167100597893,no_disk_intersection
2.576576576577,0,0,nan,nan,nan,5.809247144071428,7.202012042084879,no_disk_intersection
2.582082082082,0,0,nan,nan,nan,5.81459106008651,7.2108606651797515,no_disk_intersection
2.587587587588,0,0,nan,nan,nan,5.819934484644142,7.219713030714191,no_disk_intersection
2.593093093093,0,0,nan,nan,nan,5.825277458117517,7.228569199640221,no_disk_intersection
2.598598598599,0,0,nan,nan,nan,5.830620020883281,7.23742923303802,no_disk_intersection
2.604104104104,0,0,nan,nan,nan,5.8359622133201885,7.246293192110509,no_disk_intersection
2.60960960961,0,0,nan,nan,nan,5.841304075819762,7.255161138200191,no_disk_intersection
2.615115115115,0,0,nan,nan,nan,5.846645648777965,7.264033132776761,no_disk_intersection
2.620620620621,0,0,nan,nan,nan,5.851986972606557,7.272909237454677,no_disk_intersection
2.623996334265,0,0,nan,nan,nan,5.855261912074384,7.278353701168137,no_disk_intersection
2.626126126126,0,0,nan,nan,nan,5.857328087727576,7.281789513983597,no_disk_intersection
2.631631631632,0,0,nan,nan,nan,5.862669034579297,7.290674024260579,no_disk_intersection
2.637137137137,0,0,nan,nan,nan,5.868009853618531,7.299562830328353,no_disk_intersection
2.642642642643,0,0,nan,nan,nan,5.8733505853203365,7.308455994381303,no_disk_intersection
2.648148148148,0,0,nan,nan,nan,5.878691270180083,7.317353578763517,no_disk_intersection
2.653653653654,0,0,nan,nan,nan,5.884031948720601,7.326255645982252,no_disk_intersection
2.659159159159,0,0,nan,nan,nan,5.889372661486165,7.335162258697906,no_disk_intersection
2.664664664665,0,0,nan,nan,nan,5.894713449050308,7.344073479738185,no_disk_intersection
2.67017017017,0,0,nan,nan,nan,5.900054352015264,7.352989372093555,no_disk_intersection
2.675675675676,0,0,nan,nan,nan,5.905395411016776,7.361909998928435,no_disk_intersection
2.681181181181,0,0,nan,nan,nan,5.910736666720087,7.37083542357321,no_disk_intersection
2.686686686687,0,0,nan,nan,nan,5.9160781598325,7.379765709543216,no_disk_intersection
2.692192192192,0,0,nan,nan,nan,5.921419931090568,7.388700920521968,no_disk_intersection
2.697697697698,0,0,nan,nan,nan,5.92676202127992,7.397641120387447,no_disk_intersection
2.703203203203,0,0,nan,nan,nan,5.93210447121914,7.406586373192034,no_disk_intersection
2.708708708709,0,0,nan,nan,nan,5.937447321776902,7.415536743186147,no_disk_intersection
2.714214214214,0,0,nan,nan,nan,5.942790613864417,7.424492294806753,no_disk_intersection
2.71971971972,0,0,nan,nan,nan,5.948134388444133,7.433453092692622,no_disk_intersection
