family,map_name,m_minus,m_plus,q_minus,q_plus,lambda_minus,lambda_plus,shell_radius,observer_radius,admitted,rejection_reasons,warnings,surface_energy_density,surface_pressure,q_jump,lambda_jump,photon_sphere_classification,inner_photon_spheres,outer_photon_spheres
rn,rn_mass_shell,0.7454545454545454,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.0017608974485258512,0.00035181044660681754,0.0,,inner_only,2.2,
rn,rn_mass_shell,0.8136363636363635,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.00130880493614071,0.000278611886278232,0.0,,inner_only,2.40768211316,
rn,rn_mass_shell,0.8818181818181818,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.0008431607173954687,0.00019154273921421916,0.0,,inner_only,2.61486017534,
rn,rn_mass_shell,0.95,1.0,0.2,0.2,0.0,0.0,3.927272727272727,50.0,True,,,0.00036266775551859365,8.80854148567515e-05,0.0,,inner_only,2.82164777235,
rn,rn_mass_shell,0.2,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.003811387895070204,0.00038841589211273793,0.0,,inner_only,0.4,
rn,rn_mass_shell,0.2681818181818182,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.003520218752709404,0.00038016517332508835,0.0,,inner_only,0.688320532906,
rn,rn_mass_shell,0.33636363636363636,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.00322392512116825,0.0003688403749746938,0.0,,inner_only,0.922356555047,
rn,rn_mass_shell,0.40454545454545454,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.0029222265140730016,0.0003541070246320468,0.0,,inner_only,1.14368716564,
rn,rn_mass_shell,0.4727272727272727,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.002614815884126138,0.0003355826349233353,0.0,,inner_only,1.35932926335,
rn,rn_mass_shell,0.5409090909090909,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.0023013559624687637,0.0003128277442872647,0.0,,inner_only,1.57183122306,
rn,rn_mass_shell,0.6090909090909091,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.001981474922655536,0.00028533485478989337,0.0,,inner_only,1.78238915066,
rn,rn_mass_shell,0.6772727272727272,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.0016547612103948056,0.0002525146619942299,0.0,,inner_only,1.99165049158,
rn,rn_mass_shell,0.7454545454545454,1.0,0.2,0.2,0.0,0.0,4.436363636363636,50.0,True,,,0.001320757334070014,0.00021367876264505537,0.0,,inner_only,2.2,
